Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
351,Sonny Weems,29,PHO,SG,36,0,421,4.3,0.475,0.36,0.146,1.5,9.2,5.3,16.2,1.2,0.2,28.1,13.3,-0.5,0.1,-0.4,-0.043,-5.2,-1.5,-6.7,-0.5,
351,Sonny Weems,29,PHI,SF,7,0,78,0.8,0.388,0.429,0.095,1.3,15.9,8.4,3.9,0,0,15.5,14.5,-0.2,0,-0.2,-0.104,-7.5,-2.7,-10.2,-0.2,
352,Tarik Black,24,LAL,C,39,0,496,12.3,0.537,0,0.433,9.2,25.4,17,5.2,1.4,2.9,15.1,12.9,0.3,0.4,0.7,0.072,-3.1,-0.2,-3.3,-0.2,
353,Anderson Varejão,33,2TM,C,53,0,496,11.1,0.473,0.008,0.403,8.5,22.8,15.8,9.8,1.6,1.6,13.1,15,0.3,0.8,1,0.101,-3.5,0.6,-2.9,-0.1,
353,Anderson Varejão,33,CLE,C,31,0,310,11.2,0.469,0.013,0.276,8.8,24.3,16.6,9.3,1.8,1.3,15.8,14.8,0.1,0.5,0.6,0.089,-3.4,1,-2.4,0,
353,Anderson Varejão,33,GSW,C,22,0,186,11,0.477,0,0.604,8,20.2,14.5,10.5,1.3,2,9,15.5,0.2,0.3,0.5,0.12,-3.7,0.1,-3.6,-0.1,
354,Adreian Payne,24,MIN,PF,52,2,486,5.6,0.422,0.221,0.179,4.8,21.5,13.3,8.9,1.7,1.8,18.7,17.7,-0.9,0.4,-0.5,-0.047,-6.1,-0.2,-6.2,-0.5,
355,John Jenkins,24,2TM,SG,43,3,480,10,0.522,0.319,0.15,1.8,11.3,6.5,11.7,0.8,0.2,13.7,18.1,0,0.2,0.2,0.022,-1.9,-1,-2.9,-0.1,
355,John Jenkins,24,DAL,SG,21,1,193,7.2,0.466,0.271,0.129,2.3,10.2,6.3,7.6,0.8,0,12.9,20.1,-0.2,0.1,-0.1,-0.033,-4.3,-1.3,-5.7,-0.2,
355,John Jenkins,24,PHO,SG,22,2,287,11.9,0.564,0.356,0.167,1.5,12,6.6,14.4,0.8,0.3,14.2,16.7,0.3,0.1,0.4,0.059,-0.3,-0.7,-1.1,0.1,
356,Troy Daniels,24,CHO,SG,43,0,476,14.9,0.634,0.652,0.048,1.6,11.6,6.5,7.6,1.2,0.5,11.2,20.4,0.6,0.4,1.1,0.109,1.8,-1,0.7,0.3,
357,Ray McCallum,24,2TM,PG,41,6,475,9.1,0.449,0.288,0.103,1.9,9.3,5.6,18.5,1.3,1.2,13.6,16.8,-0.2,0.5,0.3,0.034,-2.6,-0.5,-3.1,-0.1,
357,Ray McCallum,24,SAS,PG,31,3,256,10.3,0.476,0.239,0.149,2.8,10.8,6.9,17.7,1,1.2,13.3,14.7,0.1,0.4,0.5,0.092,-2.3,0.5,-1.7,0,
357,Ray McCallum,24,MEM,PG,10,3,219,7.7,0.425,0.329,0.063,1,7.6,4.2,19.5,1.6,1.3,13.8,19.3,-0.3,0.1,-0.2,-0.033,-3,-1.6,-4.7,-0.1,
358,Jason Thompson,29,2TM,C,47,7,471,14.2,0.558,0.139,0.5,7.9,23.4,15.9,8.5,1.3,3.3,10.2,13.9,0.9,0.7,1.6,0.165,-2.1,1.2,-0.8,0.1,
358,Jason Thompson,29,GSW,C,28,1,179,13.3,0.535,0,0.762,6.4,25,16.2,13.9,1.1,3.3,11.1,15.2,0.3,0.3,0.6,0.169,-3.4,2.2,-1.3,0,
358,Jason Thompson,29,TOR,C,19,6,292,14.7,0.575,0.227,0.333,8.8,22.4,15.7,5.3,1.4,3.4,9.6,13,0.6,0.4,1,0.163,-1.2,0.6,-0.6,0.1,
359,Ryan Kelly,24,LAL,PF,36,0,470,10.3,0.44,0.248,0.362,4.6,23.7,13.8,6.9,1.4,1.7,9.4,17.9,-0.3,0.3,0.1,0.005,-2.9,-0.6,-3.5,-0.2,
360,Brian Roberts,30,2TM,PG,51,0,470,13.8,0.552,0.255,0.285,1.4,8.2,4.8,18.6,1.1,0.3,11,19.8,0.7,0.3,1,0.105,-0.9,-0.7,-1.6,0,
360,Brian Roberts,30,CHO,PG,30,0,333,13.9,0.552,0.235,0.322,1.3,8.3,4.8,18.7,1.1,0.2,10.9,19.9,0.5,0.3,0.8,0.108,-0.9,-0.5,-1.4,0,
360,Brian Roberts,30,POR,PG,21,0,137,13.7,0.551,0.3,0.2,1.6,7.9,4.7,18.5,1.1,0.6,11.4,19.6,0.2,0.1,0.3,0.096,-0.8,-1.3,-2.2,0,
361,James Jones,35,CLE,SF,48,0,463,11.6,0.58,0.732,0.183,2,10.2,6.1,4.5,1.2,1.8,7.8,16.2,0.7,0.5,1.2,0.12,-0.2,-0.1,-0.3,0.2,
362,Andre Miller,39,2TM,PG,39,4,461,13.4,0.6,0.075,0.302,3.1,9.5,6.4,28.3,1.8,0,23.6,15.4,0.6,0.4,1,0.1,-1.4,-0.5,-1.9,0,
362,Andre Miller,39,MIN,PG,26,0,280,13.7,0.663,0.069,0.328,2.5,7.4,5,31.9,1.6,0,27.4,14.6,0.5,0.1,0.5,0.088,-0.8,-1.3,-2.2,0,
362,Andre Miller,39,SAS,PG,13,4,181,12.9,0.521,0.083,0.271,3.9,12.8,8.5,22.6,2,0,18.3,16.6,0.1,0.3,0.4,0.118,-2.2,0.9,-1.3,0,
363,Greivis Vásquez,29,MIL,PG,23,0,460,7.4,0.435,0.529,0.188,1.3,10.3,5.8,28.5,1.1,0,21.1,18.5,-0.4,0.1,-0.3,-0.033,-3.4,-2.9,-6.2,-0.5,
364,Ryan Hollins,31,2TM,C,37,12,460,12.3,0.636,0,0.532,11.2,13.2,12.1,3.3,0.7,4.2,19.8,11.8,0.6,0.3,1,0.1,-2.8,-1,-3.7,-0.2,
364,Ryan Hollins,31,WAS,C,5,3,48,7.2,0.571,0,0,16,9.5,12.8,0,0,1.7,30,9.1,0,0,0,0.04,-3,-3.2,-6.1,-0.1,
