Player,MP
James Harden,11422.0
James Johnson,2234.0
James Wiseman,2794.0
Jamison Battle,1042.0
Jarace Walker,1527.0
Jared Butler,1970.0
Jared McCain,592.0
Jaren Jackson Jr.,8502.0
Jarred Vanderbilt,6060.0
Jarrett Allen,10631.0
Jarrett Culver,837.0
Javon Freeman-Liberty,403.0
Javonte Green,3730.0
Jaxson Hayes,4942.0
Jay Huff,748.0
Jaylen Brown,11125.0
Jaylen Clark,522.0
Jaylen Hoard,320.0
Jaylen Nowell,2986.0
Jaylen Wells,2043.0
Jaylin Williams,2595.0
Jaylon Tyson,453.0
Jayson Tatum,13022.0
Jeff Dowtin Jr.,880.0
Jeff Green,6478.0
Jeff Teague,950.0
Jerami Grant,8929.0
Jeremiah Robinson-Earl,3474.0
Jeremy Lamb,1700.0
Jeremy Sochan,5015.0
Jericho Sims,2584.0
Jerome Robinson,305.0
Jett Howard,701.0
Jevon Carter,4757.0
Jimmy Butler,9602.0
Jock Landale,2831.0
Joe Harris,4091.0
Joe Ingles,5202.0
Joel Embiid,8049.0
John Collins,8762.0
John Konchar,5092.0
John Wall,2043.0
Johnny Davis,1036.0
Johnny Furphy,379.0
Johnny Juzang,1642.0
Jonas Valančiūnas,9412.0
Jonathan Isaac,2004.0
Jonathan Kuminga,5672.0
Jonathan Mogbo,1286.0
Jontay Porter,360.0
Jordan Clarkson,8591.0
