,Player,Age Enter,Max BPM,Age Peaked,Top 3 BPM Avg,College,Draft Pick,Round,Round Bin,Country,League,League Diff,Player Tier,Met Draft Expt
295,Frank Mason III,23,-2.3,23,-2.7,Kansas,34,2nd,31-44,USA,Top D1,2,Benchwarmer,Bust
296,Kel'el Ware,20,-0.1,20,-0.1,Indiana,15,1st,15-30,USA,Top D1,2,Replacement Level,Below
297,Alexis Ajinça,22,-0.3,26,-2.0666666666666664,Hyeres-Toulon,20,1st,15-30,France,LNB Pro B,20,Benchwarmer,Bust
298,Julian Phillips,20,-3.0,21,-4.15,Tennessee,35,2nd,31-44,USA,Top D1,2,Benchwarmer,Bust
299,Rashad Vaughn,19,-3.6,20,-4.65,UNLV,17,1st,15-30,USA,Other D1,7,Benchwarmer,Bust
300,Tayshaun Prince,23,2.1,24,1.8333333333333333,Kentucky,23,1st,15-30,USA,Top D1,2,Role Player,Met
301,Jamal Shead,22,-4.1,22,-4.1,Houston,45,2nd,45-60,USA,Top D1,2,Benchwarmer,Below
302,Sindarius Thornwell,23,-2.4,23,-3.55,South Carolina,48,2nd,45-60,USA,Top D1,2,Benchwarmer,Below
303,Thomas Robinson,21,-2.0,23,-2.433333333333333,Kansas,5,1st,1-14,USA,Top D1,2,Benchwarmer,Bust
304,Tyrone Wallace,23,-3.5,23,-4.95,California,60,2nd,45-60,USA,Top D1,2,Benchwarmer,Below
305,Dalton Knecht,23,-1.8,23,-1.8,Tennessee,17,1st,15-30,USA,Top D1,2,Replacement Level,Below
306,Orlando Robinson,22,-1.1,23,-2.1999999999999997,Fresno State,0,Undrafted,Undrafted,USA,Other D1,7,Benchwarmer,Met
307,DeAndre Liggins,24,-0.7,24,-1.8,Kentucky,53,2nd,45-60,USA,Top D1,2,Replacement Level,Met
308,Jordan McRae,25,-1.5,28,-2.3000000000000003,Tennessee,58,2nd,45-60,USA,Top D1,2,Benchwarmer,Below
309,Lucas Nogueira,24,5.2,25,3.6,Estudiantes,16,1st,15-30,Spain,Primera FEB,17,Good Starter,Met
310,Paul Pierce,21,5.9,24,5.2,Kansas,10,1st,1-14,USA,Top D1,2,All-NBA,Exceeded
311,Kira Lewis Jr.,19,-3.4,19,-4.3999999999999995,Alabama,13,1st,1-14,USA,Top D1,2,Benchwarmer,Bust
312,Matas Buzelis,20,-2.5,20,-2.5,G League Ignite,11,1st,1-14,USA,G League,8,Benchwarmer,Bust
313,Jordan Hill,22,-0.5,26,-0.9,Arizona,8,1st,1-14,USA,Top D1,2,Replacement Level,Met
314,Sergio Rodríguez,20,-1.1,20,-1.2666666666666668,Estudiantes,27,1st,15-30,Spain,Primera FEB,17,Replacement Level,Below
