Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS▼,WS/48,OBPM,DBPM,BPM,VORP,Awards
246,Kenrich Williams,27,OKC,SF,49,0,1072,13.3,0.532,0.382,0.174,7.1,14.1,10.5,15.3,2,0.9,11.9,15.6,0.8,1,1.8,0.081,-1.3,1.1,-0.3,0.5,
247,Stanley Johnson,25,LAL,PF,48,27,1094,10.5,0.564,0.418,0.295,3.4,11.9,7.6,9.8,1.9,1.1,11,12.5,0.9,0.9,1.8,0.079,-2.8,0.1,-2.7,-0.2,
248,Bismack Biyombo,29,PHO,C,36,3,506,17.3,0.596,0,0.49,13.7,21.5,17.7,6.2,1.1,4.6,12.4,17.1,0.9,0.9,1.8,0.17,-1.7,0.4,-1.3,0.1,
249,Zeke Nnaji,21,DEN,PF,41,1,698,13.5,0.629,0.43,0.349,9.3,14.1,11.8,3.4,1.1,1.7,9.7,14.9,1.2,0.6,1.8,0.123,-0.7,-1.6,-2.2,0,
250,Klay Thompson,31,GSW,SG,32,32,941,16.7,0.547,0.517,0.089,1.8,12.4,7.3,16.1,0.8,1.7,6.7,29.6,0.6,1.2,1.8,0.091,2.6,-1.6,1.1,0.7,
251,Darius Bazley,21,OKC,PF,69,53,1924,12.6,0.515,0.414,0.262,3.7,19.8,11.6,7.7,1.5,3.4,11.1,18.3,-0.5,2.2,1.8,0.044,-2.1,0.3,-1.8,0.1,
252,Xavier Tillman Sr.,23,MEM,PF,53,2,701,15.1,0.51,0.227,0.329,9.6,14.5,12,11.6,3.3,1.9,12.1,16.4,0.6,1.2,1.8,0.121,-1.1,1.8,0.7,0.5,
253,Damian Lillard,31,POR,PG,29,29,1056,18.5,0.55,0.514,0.328,1.3,11.6,6.2,34,0.8,1,11.6,29.3,1.7,0.1,1.7,0.079,4,-2.7,1.3,0.9,
254,Jalen McDaniels,24,CHO,SF,55,2,895,12.7,0.595,0.425,0.283,4.3,16,10.1,8.7,1.4,2.3,11.2,15.3,1,0.7,1.7,0.093,-1.9,-0.4,-2.3,-0.1,
255,Nassir Little,21,POR,SF,42,23,1088,13.5,0.575,0.489,0.298,5.7,18.7,11.9,7.4,1.1,3.3,10.1,15.8,1.2,0.6,1.7,0.076,-0.9,-0.6,-1.4,0.2,
256,Shake Milton,25,PHI,SG,55,6,1179,11.9,0.517,0.33,0.181,2.9,10.4,6.7,17.6,1.2,1.3,9.2,18.3,0.7,1,1.7,0.069,-1.6,-0.6,-2.2,-0.1,
257,James Johnson,34,BRK,PF,62,10,1191,10.3,0.513,0.277,0.179,4.8,14.6,9.8,14.5,1.2,2.6,12.7,13.7,0.6,1.1,1.7,0.068,-2.7,0.6,-2.2,-0.1,
258,Russell Westbrook,33,LAL,PG,78,78,2678,15,0.512,0.215,0.324,4.4,18.8,11.6,31.6,1.3,0.7,17.3,27.3,-0.6,2.3,1.7,0.03,-0.7,-0.9,-1.6,0.2,
259,Kelly Olynyk,30,DET,C,40,1,764,16.7,0.561,0.416,0.311,7.3,18.3,12.5,23.3,2,2.2,15.1,21.5,0.8,0.8,1.6,0.104,0.5,1,1.6,0.7,
260,Lamar Stevens,24,CLE,PF,63,13,1015,11.3,0.544,0.204,0.235,5.2,12.5,8.9,6.5,1.5,1.6,10.4,17.1,0.4,1.2,1.6,0.078,-3.2,0.3,-2.9,-0.2,
261,Davon Reed,26,DEN,SG,48,5,668,12.2,0.624,0.534,0.093,2.4,15.2,9,10.7,1.8,1.2,8.7,12.1,0.9,0.7,1.6,0.117,-0.6,0.3,-0.3,0.3,
262,Tristan Thompson,30,3TM,C,57,6,897,14.9,0.541,0.011,0.434,14.7,20.8,17.7,5.5,1.2,2,12.4,17.5,0.9,0.8,1.6,0.087,-1.6,-1.5,-3.1,-0.3,
263,Cole Anthony,21,ORL,PG,65,65,2059,13.5,0.519,0.429,0.277,1.6,16.2,8.9,28.9,1.1,0.8,14.2,25.1,-0.1,1.7,1.6,0.038,-0.6,-0.6,-1.2,0.4,
264,Dillon Brooks,26,MEM,SF,32,31,885,15.5,0.515,0.283,0.202,3.4,8.8,6,15.4,1.9,0.8,8,28.8,0.7,0.9,1.6,0.087,-1,-0.8,-1.8,0,
265,Keita Bates-Diop,26,SAS,SF,59,14,956,12.4,0.578,0.209,0.232,6.8,18.7,12.7,5.7,1.4,1.2,13.4,14.8,0.6,1,1.6,0.08,-2.1,-0.5,-2.6,-0.1,
266,Andre Iguodala,38,GSW,SF,31,0,603,12.3,0.478,0.612,0.165,3.9,13.9,9.1,24.7,2.2,3.5,17.7,11.4,0.5,1.1,1.6,0.125,-0.9,3.7,2.7,0.7,
267,Doug McDermott,30,SAS,PF,51,51,1223,11.4,0.593,0.551,0.11,1.5,8.4,4.9,7.3,0.5,0.4,8.1,18.3,1.1,0.5,1.6,0.062,-0.4,-2.1,-2.5,-0.1,
268,DeMarcus Cousins,31,2TM,C,48,7,718,18.2,0.567,0.377,0.386,11.7,29.1,20.6,15.2,2.4,2.7,18.3,28.1,0.3,1.3,1.6,0.104,-1.8,0.2,-1.6,0.1,
269,Raul Neto,29,WAS,PG,70,19,1372,12.4,0.538,0.272,0.245,1.1,9.6,5.4,22.9,2,0.2,13.9,18.4,0.7,0.8,1.5,0.053,-2.5,-0.5,-2.9,-0.4,
270,Nerlens Noel,27,NYK,C,25,11,562,11.8,0.581,0.05,0.5,9,18.1,13.5,5.7,2.7,5.4,21.5,7.3,0.4,1,1.5,0.128,-3.1,3.3,0.3,0.3,
271,Jock Landale,26,SAS,C,54,1,589,16,0.597,0.436,0.201,11.1,13.5,12.3,10.6,0.8,2,12.3,18.1,1,0.4,1.5,0.121,0.7,-1.1,-0.4,0.2,
272,Jeremiah Robinson-Earl,21,OKC,C,49,36,1087,11.7,0.526,0.509,0.167,7,19.1,13,6.7,1.3,1.3,10.1,15.4,0.4,1,1.5,0.066,-1.9,-0.4,-2.2,-0.1,
273,Chimezie Metu,24,SAC,C,60,20,1279,13.4,0.546,0.414,0.203,2.9,25.9,14.3,6.9,1.9,2.2,11.1,18.5,0.1,1.4,1.5,0.056,-1.6,0.1,-1.5,0.2,
274,Jericho Sims,23,NYK,PF,41,5,555,11.6,0.674,0,0.537,11.6,21.3,16.4,5.3,1,3.9,23.1,6.9,0.7,0.8,1.5,0.128,-2.8,1.1,-1.7,0,
275,Aaron Holiday,25,2TM,PG,63,15,1021,12.6,0.544,0.305,0.201,2.6,10.3,6.5,20.7,2,0.7,15.4,18.7,0.5,0.9,1.5,0.068,-1.9,0.3,-1.7,0.1,
276,Bryn Forbes,28,2TM,SG,75,2,1286,11.5,0.574,0.547,0.161,0.9,6.9,3.9,8.3,0.9,0.3,8.8,21.2,0.8,0.6,1.4,0.054,-0.7,-2.2,-2.9,-0.3,
277,Rui Hachimura,23,WAS,PF,42,13,943,14.9,0.579,0.323,0.173,3,15.6,9.4,7.9,1.2,0.8,7.4,20.9,0.9,0.6,1.4,0.073,0.2,-1.7,-1.4,0.1,
278,Derrick Rose,33,NYK,PG,26,4,636,16.9,0.541,0.336,0.113,3.5,9.8,6.6,27.5,1.7,1.9,11.9,22.5,0.8,0.7,1.4,0.108,2.3,0,2.3,0.7,
279,Derrick Favors,30,OKC,C,39,18,653,13.6,0.534,0.088,0.137,9,20.2,14.5,5.9,1.3,1.7,4.5,13.4,0.8,0.7,1.4,0.105,-2.3,0.3,-2.1,0,
280,Troy Brown Jr.,22,CHI,SF,66,7,1055,10.1,0.525,0.516,0.101,4.2,17.4,10.8,8.2,1.7,0.4,8.8,12.3,0.5,0.9,1.4,0.065,-1.7,-0.2,-1.8,0.1,
281,Quentin Grimes,21,NYK,SG,46,6,786,10.7,0.565,0.804,0.081,3.2,9.8,6.4,8.5,2,1.4,10.3,15.1,0.6,0.9,1.4,0.087,-1.2,0.9,-0.3,0.3,
282,Justin Holiday,32,2TM,SF,74,65,2057,9.5,0.543,0.728,0.094,1.5,8.8,5.1,8.6,1.3,1.4,9.2,15.8,0.8,0.6,1.4,0.033,-1.4,-0.8,-2.2,-0.1,
283,Isaiah Jackson,20,IND,C,36,15,541,20.5,0.607,0.078,0.427,12.2,18.7,15.4,2.9,2.3,8.4,14,22.5,0.7,0.7,1.4,0.126,-1.6,0,-1.6,0,
284,Eric Gordon,33,HOU,SG,57,46,1669,12.1,0.614,0.534,0.239,1,6.5,3.7,14.1,0.8,1,14.6,18.6,1.5,-0.1,1.4,0.04,-0.1,-2.2,-2.3,-0.1,
285,Bradley Beal,28,WAS,SG,40,40,1439,17.5,0.539,0.272,0.263,3,11.4,7.3,30.8,1.2,0.9,13.6,30.8,0.6,0.7,1.4,0.046,2,-1.2,0.8,1,
286,Luguentz Dort,22,OKC,SG,51,51,1665,12.3,0.541,0.539,0.263,2.3,10.9,6.5,8.6,1.3,1,9.8,23.3,0.2,1.1,1.4,0.04,-1.5,-0.7,-2.3,-0.1,
287,Enes Freedom,29,BOS,C,35,1,411,15,0.585,0.052,0.289,16.5,25.4,21,2.7,0.6,3.1,15.5,13.9,0.6,0.7,1.4,0.16,-1.2,-0.2,-1.4,0.1,
288,Anthony Gill,29,WAS,PF,44,0,463,14.7,0.682,0.239,0.477,8,12.2,10.2,8.3,0.5,2,12,14.4,1.1,0.2,1.4,0.14,-0.6,-1.3,-1.9,0,
289,Trent Forrest,23,UTA,PG,60,6,765,10.9,0.554,0.174,0.31,3.4,10.5,7.1,18.6,1.9,0.7,21.4,12.8,0.5,0.8,1.3,0.084,-2.3,1.2,-1,0.2,
290,Eric Bledsoe,32,LAC,PG,54,29,1361,12.5,0.514,0.348,0.25,2.2,11.6,7.1,24.1,2.5,1.2,18.3,20.5,-0.5,1.8,1.3,0.047,-2.1,1.3,-0.8,0.4,
291,T.J. McConnell,29,IND,PG,27,8,652,15.1,0.525,0.159,0.111,3.4,12.2,7.7,28.7,2.2,1.3,11.7,16.2,1,0.4,1.3,0.098,-0.4,1.4,0.9,0.5,
292,David Nwaba,29,HOU,SF,46,4,609,15.3,0.567,0.278,0.381,7.4,20,13.6,8.5,2.2,2.9,9.3,15.8,0.8,0.5,1.3,0.105,-0.6,0,-0.6,0.2,
293,Paul Reed,22,PHI,C,38,2,302,21.4,0.568,0.083,0.146,16.6,17.4,17,8.3,5.5,4.2,8.9,16.7,0.6,0.7,1.3,0.212,-0.8,2.9,2.1,0.3,
294,Romeo Langford,22,2TM,SG,48,5,771,9.2,0.52,0.445,0.22,4.3,10.7,7.6,3.7,1.4,1.9,7.1,12.9,0.3,1,1.3,0.082,-2.3,1,-1.4,0.1,
295,Ricky Rubio,31,CLE,PG,34,8,970,14,0.488,0.423,0.251,1.7,14.1,8,34.6,2.5,0.6,16.5,24.9,-0.1,1.4,1.3,0.064,-1,1.2,0.2,0.5,
296,Paul George,31,LAC,PF,31,31,1077,18.6,0.538,0.404,0.233,1.2,19.2,10.5,28.1,3,1,15.2,33.7,-0.6,1.9,1.3,0.057,1.8,1.9,3.7,1.6,
297,Moses Moody,19,GSW,SG,52,11,607,10.5,0.573,0.601,0.197,3.2,11,7.2,5.3,0.6,1.6,6.1,15.2,0.6,0.7,1.3,0.101,-1.4,-1.1,-2.5,-0.1,
298,Tony Bradley,24,CHI,C,55,7,549,14.9,0.6,0,0.236,13.8,24.3,19.1,6.7,0.9,5.2,20,13.6,0.6,0.7,1.3,0.112,-2,0.2,-1.8,0,
299,Day'Ron Sharpe,20,BRK,PF,32,8,391,20.7,0.593,0.047,0.275,23.2,21.4,22.3,6.7,1.2,3.4,15.2,21.7,0.8,0.5,1.2,0.152,-0.3,-2.5,-2.8,-0.1,
300,Zach Collins,24,SAS,C,28,4,502,16.4,0.594,0.265,0.419,9.5,22.5,16,16.3,1.2,3.8,19.7,19.2,0.6,0.7,1.2,0.118,-1.2,1,-0.2,0.2,
301,Lonnie Walker IV,23,SAS,SG,70,6,1612,12.3,0.512,0.462,0.194,1.2,10.7,5.9,13.4,1.3,1,7.9,23.6,0.1,1.1,1.2,0.037,-1.2,-1.3,-2.5,-0.2,
302,Jeremy Lamb,29,2TM,SF,56,0,935,13.3,0.521,0.49,0.305,3,15.3,9.1,12.3,1.6,2,8.6,19.7,0.6,0.6,1.2,0.063,-0.4,-0.5,-0.8,0.3,
303,Furkan Korkmaz,24,PHI,SG,67,19,1414,10.2,0.502,0.566,0.179,1.8,11.9,6.9,13.1,1.2,0.6,8.6,17.6,0.1,1.1,1.2,0.041,-2,-1.1,-3.1,-0.4,
304,Aaron Wiggins,23,OKC,SG,50,35,1209,10.3,0.556,0.409,0.252,4.3,11,7.6,8.5,1.2,0.8,12.6,15.3,0.5,0.8,1.2,0.048,-3.4,-0.9,-4.3,-0.7,
305,Gorgui Dieng,32,ATL,C,44,3,371,17.3,0.624,0.607,0.232,9.5,26.1,17.8,12.7,1.5,3.1,13.9,16.9,0.8,0.4,1.2,0.155,1.4,0.8,2.1,0.4,
306,Rodney McGruder,30,DET,SG,51,2,754,11.6,0.577,0.649,0.116,4.2,12.1,8,9.6,1.4,0.8,9.2,14.8,0.7,0.4,1.2,0.075,-0.7,-0.7,-1.4,0.1,
307,Avery Bradley,31,LAL,SG,62,45,1406,7.8,0.55,0.6,0.051,2.4,8,5.2,4.5,1.8,0.6,9.6,12.1,0.3,0.9,1.2,0.04,-3.5,-0.1,-3.6,-0.6,
308,Jevon Carter,26,2TM,PG,66,3,905,9.6,0.531,0.672,0.071,1.7,11.2,6.6,14,1.3,1.4,11.5,14,0.5,0.7,1.2,0.062,-1.8,-0.4,-2.2,-0.1,
309,Wesley Matthews,35,MIL,SG,49,14,1002,6.9,0.536,0.714,0.127,3.2,6.4,4.9,4.6,1.1,0.8,7.2,10.7,0.6,0.6,1.2,0.056,-3,-0.3,-3.3,-0.3,
310,Austin Rivers,29,DEN,SG,67,18,1480,7.2,0.546,0.66,0.126,1.5,6.9,4.3,8,1.7,0.4,12.8,12.6,0.1,1.1,1.2,0.037,-3.5,-0.3,-3.8,-0.7,
311,Moses Brown,22,2TM,C,40,6,345,18.5,0.612,0,0.667,12.7,30.5,21.7,0.4,1,4.2,12.5,20.7,0.5,0.7,1.2,0.16,-2.4,-0.9,-3.3,-0.1,
312,Sandro Mamukelashvili,22,MIL,PF,41,3,407,14.7,0.618,0.452,0.191,9.3,12,10.7,7.4,1.1,2.1,10.7,14.6,0.8,0.3,1.1,0.135,0.6,-1,-0.3,0.2,
313,De'Andre Hunter,24,ATL,SF,53,52,1577,10.6,0.547,0.339,0.289,1.8,10.4,6.1,6.1,1.1,1.2,9.6,19.9,0.4,0.7,1.1,0.034,-2.4,-1.5,-3.9,-0.8,
314,Thomas Bryant,24,WAS,C,27,9,439,16.6,0.607,0.284,0.27,6.7,20.4,13.6,7.9,0.7,4.1,10.3,18.7,0.7,0.4,1.1,0.118,-0.4,-0.7,-1,0.1,
315,Cody Zeller,29,POR,C,27,0,355,17.2,0.627,0.044,0.544,14.9,24.1,19.3,9.4,1.1,1.7,14.6,15.9,0.9,0.2,1.1,0.143,-1.2,-1,-2.1,0,
316,Talen Horton-Tucker,21,LAL,SG,60,19,1511,11,0.503,0.338,0.232,2.6,11.1,6.9,14.9,1.9,1.7,12.1,19.2,-0.2,1.2,1.1,0.033,-3.2,-0.2,-3.3,-0.5,
317,Tomáš Satoranský,30,3TM,SG,55,13,906,10.2,0.461,0.277,0.283,3.3,12.1,7.7,27,1.6,0.5,17.6,12.6,0.5,0.6,1,0.055,-3.3,-0.3,-3.7,-0.4,
318,Wayne Ellington,34,LAL,SG,43,9,810,9.9,0.593,0.89,0.046,1.3,8.9,5.1,5,1.4,0.5,7.3,13.8,0.6,0.4,1,0.062,-0.7,-0.6,-1.4,0.1,
319,Malachi Flynn,23,TOR,PG,44,5,537,11.7,0.488,0.492,0.131,1.9,11.3,6.4,18.5,1.9,0.7,6.3,16.5,0.5,0.5,1,0.092,-1.8,0.4,-1.5,0.1,
320,Danuel House Jr.,28,3TM,SF,42,7,727,10.6,0.555,0.591,0.293,2.8,13.8,8.4,8.4,1.4,2.1,12.9,15.2,0.4,0.7,1,0.068,-1.3,0.2,-1.1,0.2,
321,Olivier Sarr,22,OKC,C,22,2,421,14,0.672,0.287,0.287,8.2,14.6,11.4,6.9,0.7,3.3,16.2,13.9,0.7,0.3,1,0.117,-2.7,-1.3,-4,-0.2,
322,Cam Reddish,22,2TM,SF,49,7,1012,12.8,0.543,0.451,0.275,2.7,8.6,5.7,7,2.3,1.4,11.1,22.2,0.2,0.8,1,0.046,-1,-0.3,-1.3,0.2,
323,Nick Richards,24,CHO,C,50,5,367,15.9,0.689,0,0.478,9.7,15.2,12.4,4.9,1.2,5.4,18.1,15.4,0.6,0.3,1,0.125,-2.6,-0.2,-2.8,-0.1,
324,Nathan Knight,24,MIN,PF,37,2,267,18.7,0.603,0.148,0.682,12.5,21.8,17.1,11.9,1.2,2.9,13.6,20.7,0.6,0.3,1,0.171,-0.7,0.1,-0.6,0.1,
325,Thanasis Antetokounmpo,29,MIL,SF,48,6,473,12.5,0.577,0.109,0.359,9.2,13.4,11.3,6.5,1.6,2.4,14.9,15.7,0.4,0.5,0.9,0.095,-3.5,-0.1,-3.5,-0.2,
326,Chris Duarte,24,IND,SG,55,39,1541,12.3,0.537,0.411,0.18,2.9,13.6,8.2,10.9,1.8,0.6,11.8,21.1,0.2,0.7,0.9,0.029,-1.2,-1.1,-2.3,-0.1,
327,Frank Ntilikina,23,DAL,SG,58,5,685,10.4,0.513,0.498,0.112,1.9,10.9,6.4,14.7,2,0.9,11.7,17.4,0.1,0.9,0.9,0.065,-2.8,0.9,-1.9,0,
328,Saben Lee,22,DET,PG,37,0,604,13.8,0.499,0.339,0.401,3.1,13,7.8,26.2,2.9,1.8,14.7,17.3,0.3,0.7,0.9,0.073,-1.9,1.5,-0.4,0.2,
329,Alex Len,28,SAC,C,39,10,620,13.1,0.577,0.119,0.358,9,19.3,14.1,10.6,1,3.5,17.4,17.1,0.4,0.5,0.9,0.07,-3.2,0.3,-2.9,-0.1,
330,Dāvis Bertāns,29,2TM,PF,56,0,807,9.4,0.531,0.836,0.145,1.7,14.3,8,5.5,1,1.3,6.1,17.3,0.2,0.7,0.9,0.053,-1.7,-0.9,-2.6,-0.1,
331,Juancho Hernangómez,26,3TM,PF,40,9,445,11.5,0.542,0.651,0.321,7,17.1,12.2,6,1.6,2,11.7,13.4,0.3,0.6,0.9,0.095,-0.7,0.1,-0.6,0.2,
332,Timothé Luwawu-Cabarrot,26,ATL,SF,52,18,685,9.3,0.556,0.656,0.22,2.7,10.3,6.6,7.7,1.3,0.8,8.9,14.3,0.6,0.3,0.9,0.061,-2.3,-1,-3.3,-0.2,
333,Patrick Williams,20,CHI,PF,17,9,422,12.7,0.637,0.284,0.402,4.6,13.8,9.2,4.8,1,1.8,11.8,14.2,0.6,0.3,0.9,0.099,-0.9,-0.7,-1.5,0,
334,Frank Kaminsky,28,PHO,C,9,0,181,21.3,0.635,0.227,0.303,6.7,17.3,12.1,10.1,2.1,3.4,6.3,19,0.5,0.3,0.9,0.228,2.4,2.5,4.9,0.3,
335,Garrett Temple,35,NOP,SG,59,16,1098,8.6,0.494,0.627,0.139,2.9,11.8,7.2,9.2,1.9,2,11.8,13.9,-0.1,1,0.8,0.037,-2.8,0.3,-2.5,-0.1,
336,Kevin Porter Jr.,21,HOU,PG,61,61,1907,13.5,0.531,0.511,0.239,2.5,13,7.7,30.7,1.7,1,17.7,24.1,0,0.8,0.8,0.021,-0.1,-1.6,-1.6,0.2,
337,Ben McLemore,28,POR,SG,64,6,1285,11.7,0.567,0.774,0.163,1,8.1,4.4,7.3,1.4,0.8,8.7,21.3,0.7,0.2,0.8,0.031,-0.7,-2.5,-3.2,-0.4,
338,Cam Thomas,20,BRK,SG,67,2,1176,11.7,0.519,0.346,0.209,1.5,13.1,7.5,9.7,1.4,0.6,9.1,22.1,0,0.8,0.8,0.033,-2,-1.4,-3.4,-0.4,
